question,nf code,nf name,study source,test type,guideline,test material,investigation types
EFSA-Q-2020-00284,NF 2020/1651,mung bean protein,no ADME in opinion,,,,
EFSA-Q-2019-00323,NF 2019/1046,oil from Schizochytrium limacinum (strain FCC-3204),no ADME in opinion,,,,
EFSA-Q-2021-00079,NF 2020/2160,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,not reported,,"food folates, folic acid, calcium L-methylfolate or unspecified for of L-5-MTHF",bioavailability
EFSA-Q-2021-00079,NF 2020/2160,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,in vitro,,NF (without added antioxidants),digestibility
EFSA-Q-2021-00079,NF 2020/2160,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,human interventional clinical trial,ICH-GCP,"5-MTHF, folic acid",pharmacokinetics
EFSA-Q-2018-00514,NF 2018/0402,calcidiol monohydrate,literature,,,,absorption
EFSA-Q-2018-00514,NF 2018/0402,calcidiol monohydrate,original,in vitro,,,digestibility
EFSA-Q-2018-00514,NF 2018/0402,calcidiol monohydrate,original,animal,,NF,bioavailability
EFSA-Q-2018-00514,NF 2018/0402,calcidiol monohydrate,literature,,,,metabolism
EFSA-Q-2018-00514,NF 2018/0402,calcidiol monohydrate,original,human interventional clinical trial,,,pharmacokinetics
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,literature,animal,,NAD,"digestibility, absorption"
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,literature,animal,,nicotinamide riboside,absorption
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,original,animal,,NF,toxicokinetics
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,original,human interventional clinical trial,,NF,pharmacokinetics
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,literature,human interventional clinical trial,,NF,pharmacokinetics
EFSA-Q-2018-00480,NF 2018/0233,nicotinamide riboside chloride,original,in vitro,,NF,metabolism
EFSA-Q-2021-00053,NF 2020/2033,fresh plants of Wolffia arrhiza and Wolffia globosa,no ADME in opinion,,,,
EFSA-Q-2018-00282,NF 2018/0125,frozen and freeze-dried formulations of the lessermealworm (Alphitobius diaperinus larva),no ADME in opinion,,,,
EFSA-Q-2018-00542,NF 2018/0177,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),no ADME in opinion,,,,
EFSA‐Q‐2020‐00111,NF 2020/1526,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),literature,animal,,NF,pharmacokinetics
EFSA‐Q‐2020‐00111,NF 2020/1526,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),literature,not reported,,"curcumin, curcuminoids","metabolism, excretion"
EFSA-Q-2019-00043,NF 2018/0669,dried whole cell Euglena gracilis,no ADME in opinion,,,,
EFSA-Q-2020-00492,NF 2020/1866,iron milk proteinate,original,in vitro,,NF,digestibility
EFSA-Q-2020-00492,NF 2020/1866,iron milk proteinate,original,in vitro,,IMP manufactured with casein from fresh milk,bioavailability
EFSA-Q-2020-00492,NF 2020/1866,iron milk proteinate,original,in vitro,,Two iron-casein complexes (i.e. ICC1 and ICC2),digestibility
EFSA-Q-2020-00492,NF 2020/1866,iron milk proteinate,original,human interventional clinical trial,,milk with NF,bioavailability
EFSA-Q-2020-00417,NF 2019/1471,vitamin D2 mushroom powder,literature,human other,,,unspecified
EFSA-Q-2020-00417,NF 2019/1471,vitamin D2 mushroom powder,literature,animal,,,unspecified
EFSA-Q-2022-00371,NF 2020/1665,dried nuts of Canarium amboinense Hochr.,no ADME in opinion,,,,
EFSA-Q-2018-00279,NF 2018/0328,hot water extract of fruits and peduncles of Hovenia dulcis,no ADME in opinion,,,,
