question,nf name,study source,study type,guideline,test material,duration,species,sex,reference point,qualifier,value,unit,remarks
EFSA-Q-2020-00284,mung bean protein,literature,(sub)chronic,,bruchid beetle-resistant mung bean,90 days,rat,Unspecified,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,other,,DHA-rich oils from different strains of Schizochytrium sp.,,rat,Unspecified,,,,,"Subchronic and developmental and reproductive toxicity studies. In all previous assessments, the competent authorities concluded that there were no concerns with regard to genotoxicity and subchronic toxicity of the tested materials"
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,human other,,NF,,human,Unspecified,NOAEL,,1,Grams per day,"For the assessment of this NF application, the Panel referred to the 2012 EFSA opinion, which concluded that supplemental intakes of DHA alone up to about 1 g/day do not raise safety concerns for the general population."
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,DHA oil produced by enzymatic synthesis,48 weeks,human,Unspecified,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,DHA oil from microalga Crypthecodinium cohinii,4 years,human,Male,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,DHA oil from microalga Crypthecodinium cohinii,90 days,human,Male,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,Supplemented oils obtained from KD Pharma,12 weeks,human,Mixed females and males,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,DHA oil from microalga Schizochytrium sp.,189 days,human,Unspecified,,,,,
EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),original,human interventional clinical trial,,DHA seaweed oil,1 years,human,Unspecified,,,,,
EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,EFSA,read across,,calcium L-methylfolate,,,,,,,,
EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,literature,human tolerability study,ICH-GCP,"NF, folic acid",16 days,human,Mixed females and males,,,,,"Study duration: 2 days with a 2-week washout period. Both folate forms were ""well tolerated""."
EFSA-Q-2018-00514,calcidiol monohydrate,original,acute toxicity,,NF,,rat,Unspecified,,,,,
EFSA-Q-2018-00514,calcidiol monohydrate,literature,subacute,,vitamin D3 and 25-hydroxyvitamin D3,14 days,rat,Male,,,,,"Given the high doses used, and the high toxicity, no conclusions can be drawn from this study."
EFSA-Q-2018-00514,calcidiol monohydrate,original,subchronic,OECD TG 408,NF,90 days,rat,Mixed females and males,,,,,No NOEL could be derived
EFSA-Q-2018-00514,calcidiol monohydrate,literature,human interventional clinical trial,,NF,,,Mixed females and males,,,,,Data in humans do not raise safety concerns.
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,in vitro,,NF,,Human embryonic kidney 293 cell,,,,,,hERG screening assay
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,acute toxicity,,NF,single,rat,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,subacute,,NF,7 days,dog,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,subacute,,NF,14 days,rat,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,repeated dose,OECD TG 408,NF,28 days,dog,Mixed females and males,NOAEL,,300,Milligrams per kilogram body weight per day,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,subchronic,OECD TG 408,NF and nicotinamide,90 days,rat,Mixed females and males,NOAEL,,300,Milligrams per kilogram body weight,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,reproduction toxicity,OECD TG 415,,,rat,Mixed females and males,NOAEL,,"675 (Male), 1088 (Female)",Milligrams per kilogram body weight per day,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,developmental,OECD TG 414,,,rat,Female,NOAEL,,325,Milligrams per kilogram body weight per day,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,human interventional clinical trial,,NF,8 weeks,Human embryonic kidney 293 cell,Mixed females and males,,,,,"The ingestion of up to 1,000 mg NF/day had no effect on plasma homocysteine concentrations."
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,human pharmacokinetic clinical trial,,NF,10 days,,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,human interventional clinical trial,,NF,10 weeks,,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,original,human pharmacokinetic clinical trial,,NF,3 days,,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,literature,human interventional clinical trial,,NF,6 weeks,,Mixed females and males,,,,,
EFSA-Q-2018-00480,nicotinamide riboside chloride,literature,human interventional clinical trial,,NF,12 weeks,,Male,,,,,
EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,human interventional clinical trial,,green shakes of W. globosa,,human,Unspecified,,,,,Information on adverse events not reported in the papers.
EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,subchronic,,Dry Mankai (dry products of W. globosa),,rat,Mixed females and males,,,,,No adverse effects were observed with level up to 20% for both males and females.
EFSA-Q-2018-00282,frozen and freeze-dried formulations of the lessermealworm (Alphitobius diaperinus larva),original,subchronic,OECD TG 408,NF (powder),90 days,rat,Mixed females and males,NOAEL,,"12469 (Male), 15302 (Female)",Milligrams per kilogram body weight per day,
