nf code,question,nf name,study source,guideline,test type,test material,outcome,remarks
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,bacterial reverse mutation assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,chromosome aberration assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2019/1046,EFSA-Q-2019-00323,oil from Schizochytrium limacinum (strain FCC-3204),Previous assessment,,micronucleus assay,DHA-rich oils from different strains of Schizochytrium sp.,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 487,in vitro mammalian cell micronucleus test,NF,negative,
NF 2020/2160,EFSA-Q-2021-00079,monosodium salt of l‐5‐methyltetrahydrofolic acid,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 490,mammalian cell gene mutation assay,NF,negative,
NF 2018/0402,EFSA-Q-2018-00514,calcidiol monohydrate,original,OECD TG 474,Mammalian erythrocyte micronucleus test,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 471,bacterial reverse mutation assay,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 473,in vitro mammalian chromosome aberration test,NF,negative,
NF 2018/0233,EFSA-Q-2018-00480,nicotinamide riboside chloride,original,OECD TG 474,Mammalian erythrocyte micronucleus test,NF,negative,
NF 2020/2033,EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,,bacterial reverse mutation assay,Dry Mankai (dry products of W. globosa),negative,
NF 2020/2033,EFSA-Q-2021-00053,fresh plants of Wolffia arrhiza and Wolffia globosa,literature,,in vitro mammalian cell micronucleus test,Dry Mankai (dry products of W. globosa),negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,NF oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,Jatropha kernel oil,negative,
NF 2018/0177,EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),original,OECD TG 471,bacterial reverse mutation assay,NF defatted meal,inconclusive,
