nf name,question,vocab,type,scientific name,common names,family,genus,species,variant,part,gmo,qps,cell culture,cell culture modified
oil from Schizochytrium limacinum (strain FCC-3204),EFSA-Q-2019-00323,,Microalgae,,,Thraustochytriaceae,Schizochytrium,"Schizochytrium limacinum, Aurantiochytrium limacinum",,Whole cell,,Y,,
dried whole cell Euglena gracilis,EFSA-Q-2019-00043,,Microalgae,,Euglena,Euglenaceae,Euglena,Euglena gracilis Klebs var. bacillaris,ATCC PTA-12301,Whole cell,,Y,,
vitamin D2 mushroom powder,EFSA-Q-2020-00417,,Fungi,,"white button mushroom, champignon de Paris, cremini, chestnut mushrooms, Portobello mushroom",Agaricaceae,Agaricus,Agaricus bisporus,,whole fruiting body,N,U,,
galacto‐oligosaccharides (GOS),EFSA-Q-2020-00747,,Bacteria,,,,Bifidobacterium,Bifidobacterium bifidum,,,,,,
2’‐fucosyllactose/difucosyllactose mixture,EFSA-Q-2018-00374,Escherichia coli (as organism),Bacteria,,,,Esccherichia,Esccherichia coli,K12,,Y,N,,
chromium‐enriched biomass of Yarrowia lipolytica,EFSA-Q-2018-00769,,Fungi,,,Dipodascaceae,Yarrowia,Yarrowia lipolytica,,,N,Y,,
mung bean protein,EFSA-Q-2020-00284,Mung bean (as plant),Plant,,Mung bean,Fabaceae,Vigna,Vigna radiata,,Seeds,N,,,
fresh plants of Wolffia arrhiza and Wolffia globosa,EFSA-Q-2021-00053,,Plant,Wolffia globosa (Roxb.) Hartog & Plas,,Araceae,Wolffia,Wolffia globosa,,Whole plant,N,,,
fresh plants of Wolffia arrhiza and Wolffia globosa,EFSA-Q-2021-00053,,Plant,Wolffia arrhiza (L.) Horkel ex Wimm,,Araceae,Wolffia,Wolffia arrhiza,,Whole plant,N,,,
hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),EFSA-Q-2018-00542,Jatropha curcas L. (as plant),Plant,Jatropha curcas L.,Chuta,Euphorbiaceae,Jatropha,Jatropha curcas,EdibleNut' cultivars,Kernel,N,,,
tetrahydrocurcuminoids from turmeric (Curcuma longa L.),EFSA‐Q‐2020‐00111,,Plant,Curcuma  longa L.,"curcuma, turmeric",Zingiberacea,Curcuma,Curcuma longa,,rhizome,N,,,
